a,albedo,arg_peri,diameter,e,H,i,anomaly,name,long_node,t_impact,d_impact
2.662350629,0.14,221.2179807,33.92039986,0.662277163,25.1,20.71655966,306.2866796,1089,5.826742355,7025.040229,3/27/2019
1.359512385,0.14,94.02356565,25.49534911,0.493881096,25.72,14.7037458,273.8600114,2138,350.8665021,7009.989803,3/12/2019
2.020587879,0.14,308.6042082,24.68658198,0.57320254,25.79,2.997541056,299.5357807,2502,191.7749852,7031.053738,4/2/2019
1.859787222,0.14,92.38430142,25.26160634,0.671524747,25.74,23.49909232,355.935002,2635,214.9674898,6875.714041,10/29/2018
1.705132496,0.14,267.1551633,22.72275381,0.658216032,25.97,29.5761478,4.797980873,2682,15.57541984,6856.175669,10/9/2018
1.420876008,0.14,114.1367698,34.23426145,0.703275644,25.08,57.98023592,327.8508195,3055,343.6761147,6823.579938,9/7/2018
1.964516577,0.14,286.0267568,31.36613181,0.632550943,25.27,6.080503523,295.0539256,3225,205.6041243,7045.139289,4/16/2019
2.58340731,0.14,126.0262406,22.51443035,0.681727301,25.99,17.82120382,348.1887938,3611,242.9125058,6903.506044,11/26/2018
1.519980916,0.14,32.91840792,26.82013522,0.376654705,25.61,43.35247698,310.2384881,3940,44.81634352,6885.541406,11/8/2018
1.553018898,0.14,116.5455651,30.23158819,0.759299504,25.35,32.38388535,235.0324394,4328,178.1855487,7017.34606,3/19/2019
2.093887925,0.14,193.0749844,27.44485642,0.531756638,25.56,15.36101363,299.5271218,4687,334.2479955,6993.406302,2/23/2019
1.358280096,0.14,51.48216963,32.99597479,0.3229221,25.16,50.4415139,167.091623,5132,244.249029,7085.024789,5/26/2019
3.509001675,0.14,3.513092995,32.54325304,0.712644195,25.19,16.85408817,304.668595,5567,339.2362941,7184.239636,9/2/2019
2.131700806,0.14,22.68579125,51.34060275,0.540050502,24.2,22.41903501,277.0768137,5688,221.5577633,7061.502073,5/3/2019
1.49335967,0.14,328.9729571,28.73829266,0.355563881,25.46,15.30001001,258.1191959,5711,193.5087639,7032.800155,4/4/2019
2.15384262,0.14,87.91651368,23.57550276,0.724962574,25.89,11.76465269,330.2487318,6260,26.96997625,6867.667654,10/21/2018
2.389270121,0.14,34.53247547,29.81679525,0.613606902,25.38,38.38461814,333.4477076,7002,51.1498655,6891.840835,11/14/2018
1.349449874,0.14,215.8145365,31.07856538,0.287934262,25.29,25.97535187,197.7638376,7156,25.4486393,7044.96121,4/16/2019
1.398951906,0.14,207.6155654,36.68267205,0.305110568,24.93,46.62181524,220.1957905,7867,9.49930813,7028.759106,3/31/2019
1.425126636,0.14,196.9225703,23.35936125,0.297917685,25.91,5.585454298,203.1046682,8482,53.29501414,7073.446809,5/14/2019
1.40947234,0.14,134.8304307,30.37113086,0.344700185,25.34,3.869982393,256.7960698,9085,10.95527612,7030.116001,4/1/2019
2.23985691,0.14,316.2787271,27.9550944,0.597138842,25.52,11.51669876,6.43789962,9837,348.4859079,6828.517499,9/12/2018
2.284210101,0.14,164.5616958,27.69880055,0.572119757,25.54,8.331159744,312.1452806,9981,338.6357316,6997.745489,2/28/2019
1.301280963,0.14,328.1049728,31.22201752,0.2495566,25.28,35.64687352,219.5485204,10459,218.1923508,7058.042364,4/29/2019
1.617804646,0.14,344.675349,27.31875876,0.389116748,25.57,16.90601481,346.6807642,11195,18.21983399,6858.822173,10/12/2018
1.542707023,0.14,167.0519981,28.2137597,0.357900631,25.5,18.75136323,259.9086172,11455,4.540354998,7023.720637,3/26/2019
4.140705767,0.14,36.90322638,32.09674287,0.780804389,25.22,48.5456327,333.8337114,11722,176.7086978,7015.860904,3/18/2019
1.878287694,0.14,263.6175281,24.01380408,0.65462274,25.85,41.56873498,329.3070091,11941,190.1378205,6850.664415,10/4/2018
1.081761533,0.14,320.5843592,24.91500411,0.110238186,25.77,16.92236542,261.308174,12778,127.5587834,6966.993958,1/28/2019
2.872306757,0.14,345.6518769,31.80247816,0.654851211,25.24,15.20593495,357.9750493,13496,358.9517873,6839.244092,9/22/2018
1.364158522,0.14,311.8101776,24.68658198,0.31680891,25.79,29.76409383,218.8412792,13683,245.9419662,7086.782588,5/28/2019
2.556009343,0.14,351.4593101,22.93300486,0.604980684,25.95,49.99615292,295.9067958,15056,249.6920033,7090.696459,6/1/2019
1.595825166,0.14,264.0166569,22.82763727,0.5763111,25.96,48.89054364,220.5647417,15352,32.87863468,7052.584149,4/24/2019
0.921411777,0.14,305.701232,31.80247816,0.376905784,25.24,21.63573468,334.566698,15407,67.11784011,7087.992291,5/29/2019
1.03956757,0.14,127.5923502,58.40647056,0.654499599,23.92,66.71362975,241.9071758,15474,52.29935704,6892.987261,11/15/2018
2.074321644,0.14,265.9484535,26.20963441,0.732855167,25.66,10.77817238,260.5979185,15555,322.3547914,7166.745457,8/16/2019
2.117189509,0.14,343.0386436,25.49534911,0.533110013,25.72,44.07427759,357.5135309,16165,359.2512615,6839.566141,9/23/2018
2.400200114,0.14,170.6552166,42.31174758,0.585689188,24.62,3.219287716,352.1911228,16458,194.358369,6854.904681,10/8/2018
2.006622356,0.14,236.2873256,24.46025403,0.576687795,25.81,5.903227795,249.5895098,16618,74.89434207,7096.083083,6/6/2019
2.272542854,0.14,312.2886086,32.99597479,0.609963248,25.16,28.60504097,268.158006,16728,327.5091113,7172.101966,8/21/2019
2.647875828,0.14,219.1168186,22.93300486,0.949544477,25.95,55.68610151,327.8421321,17410,153.6500505,6992.836375,2/23/2019
1.725161074,0.14,173.2567851,37.71038472,0.427001246,24.87,28.6200565,332.2738828,19240,226.6539244,6887.370943,11/9/2018
0.80757755,0.14,152.2374201,27.44485642,0.312365334,25.56,23.98727667,261.3401016,20352,219.1233707,7058.986855,4/30/2019
2.026856993,0.14,42.92182446,25.61303029,0.552017861,25.71,29.89099742,341.425184,20670,-0.334724821,6839.986,9/23/2018
1.067667894,0.14,264.5157892,24.12464677,0.27233924,25.84,54.5338027,174.316435,21114,256.3988648,7097.696128,6/8/2019
1.609452957,0.14,54.09577847,24.01380408,0.463296977,25.85,43.93318452,313.6214884,21758,33.18813622,6873.921181,10/27/2018
0.863754989,0.14,33.84663463,47.03931222,0.234096311,24.39,47.87600824,157.3101617,22031,67.05658178,7087.94236,5/29/2019
1.431612886,0.14,149.163866,23.68432234,0.31921741,25.88,64.89450812,164.6965942,22555,159.2383193,7184.253419,9/2/2019
1.508605862,0.14,108.9064139,25.73125467,0.482196128,25.7,3.788610939,269.1746237,23328,18.21890422,7037.565143,4/9/2019
1.870603718,0.14,163.1611159,25.26160634,0.480288308,25.74,23.47983377,304.6782522,23419,315.8132888,6975.176004,2/5/2019
1.633210149,0.14,132.346791,22.61835224,0.443464711,25.98,59.17872706,206.9573436,23454,154.7290987,7179.589937,8/29/2019
1.437035789,0.14,131.4814568,24.46025403,0.372485253,25.81,53.87494485,273.8099261,24943,347.9462649,7007.078255,3/9/2019
1.121455991,0.14,96.70156896,32.09674287,0.395241171,25.22,24.2735267,153.9532216,25451,165.2475453,7004.374025,3/6/2019
1.34426601,0.14,49.1723156,22.61835224,0.329221636,25.98,41.62321217,234.1276607,26436,138.2947535,6977.629396,2/8/2019
3.151567495,0.14,43.08243513,33.60941576,0.719274474,25.12,62.6411591,346.8875356,26698,21.65074339,6862.317543,10/15/2018
2.101822367,0.14,179.0813425,23.46718317,0.521558885,25.9,6.870370398,355.5434115,27208,172.3875497,6832.482595,9/15/2018
2.346754805,0.14,175.1973693,23.57550276,0.580113883,25.89,42.80706401,316.6877059,28893,320.4625451,6979.77317,2/10/2019
1.360986207,0.14,215.1859313,23.57550276,0.30244097,25.89,18.28301313,300.5962751,29040,223.1580562,6883.8724,11/6/2018
1.889212373,0.14,160.3856197,23.68432234,0.472858889,25.88,49.7388178,260.4953352,29896,75.40573679,7096.65439,6/7/2019
0.758072679,0.14,0.067559481,22.51443035,0.323033586,25.99,15.32333476,143.850309,30086,181.7502473,6842.076108,9/25/2018
1.812559256,0.14,64.23427105,24.91500411,0.555803125,25.77,11.37388519,242.1285703,30881,225.4872258,7065.561206,5/7/2019
1.382633281,0.14,258.7611955,22.51443035,0.610261096,25.99,64.54641811,330.1826789,31366,77.99005617,6918.373527,12/10/2018
2.0690414,0.14,30.57193637,32.84437206,0.536389878,25.17,25.1141686,350.3227448,31899,343.0220698,6822.899267,9/6/2018
1.2194823,0.14,154.7071633,28.87094259,0.179687565,25.45,25.11426301,133.3599775,32155,127.780246,7151.512049,8/1/2019
0.927588058,0.14,54.99020934,34.87072389,0.387941733,25.04,30.39401382,62.17337876,32905,138.2820762,7162.488761,8/11/2019
1.826248731,0.14,201.8442777,32.69346587,0.461282795,25.18,23.69482495,348.4225359,33231,168.7662421,6828.807371,9/12/2018
1.758968679,0.14,116.376543,28.6062522,0.551353161,25.47,31.4969014,322.293697,34050,289.8777484,6949.686168,1/11/2019
1.764893049,0.14,294.8304641,22.82763727,0.556258994,25.96,21.61411303,344.2051501,34292,58.23479892,6898.863268,11/21/2018
