,n,a,e,completeness
0,1.0,0.7,0.0,0.58
1,2.0,0.7,0.0,0.696
2,3.0,0.7,0.0,0.733
3,4.0,0.7,0.0,0.742
4,5.0,0.7,0.0,0.768
5,1.0,0.7,0.2,0.566
6,2.0,0.7,0.2,0.683
7,3.0,0.7,0.2,0.734
8,4.0,0.7,0.2,0.745
9,5.0,0.7,0.2,0.771
10,1.0,0.7,0.4,0.56
11,2.0,0.7,0.4,0.677
12,3.0,0.7,0.4,0.723
13,4.0,0.7,0.4,0.739
14,5.0,0.7,0.4,0.771
15,1.0,0.7,0.6000000000000001,0.48
16,2.0,0.7,0.6000000000000001,0.605
17,3.0,0.7,0.6000000000000001,0.668
18,4.0,0.7,0.6000000000000001,0.697
19,5.0,0.7,0.6000000000000001,0.75
20,1.0,0.7999999999999999,0.0,0.563
21,2.0,0.7999999999999999,0.0,0.686
22,3.0,0.7999999999999999,0.0,0.731
23,4.0,0.7999999999999999,0.0,0.748
24,5.0,0.7999999999999999,0.0,0.772
25,1.0,0.7999999999999999,0.2,0.568
26,2.0,0.7999999999999999,0.2,0.686
27,3.0,0.7999999999999999,0.2,0.722
28,4.0,0.7999999999999999,0.2,0.732
29,5.0,0.7999999999999999,0.2,0.767
30,1.0,0.7999999999999999,0.4,0.541
31,2.0,0.7999999999999999,0.4,0.66
32,3.0,0.7999999999999999,0.4,0.707
33,4.0,0.7999999999999999,0.4,0.724
34,5.0,0.7999999999999999,0.4,0.756
35,1.0,0.7999999999999999,0.6000000000000001,0.464
36,2.0,0.7999999999999999,0.6000000000000001,0.578
37,3.0,0.7999999999999999,0.6000000000000001,0.642
38,4.0,0.7999999999999999,0.6000000000000001,0.652
39,5.0,0.7999999999999999,0.6000000000000001,0.705
40,1.0,0.8999999999999999,0.0,0.57
41,2.0,0.8999999999999999,0.0,0.685
42,3.0,0.8999999999999999,0.0,0.728
43,4.0,0.8999999999999999,0.0,0.747
44,5.0,0.8999999999999999,0.0,0.768
45,1.0,0.8999999999999999,0.2,0.562
46,2.0,0.8999999999999999,0.2,0.681
47,3.0,0.8999999999999999,0.2,0.723
48,4.0,0.8999999999999999,0.2,0.743
49,5.0,0.8999999999999999,0.2,0.769
50,1.0,0.8999999999999999,0.4,0.531
51,2.0,0.8999999999999999,0.4,0.654
52,3.0,0.8999999999999999,0.4,0.711
53,4.0,0.8999999999999999,0.4,0.721
54,5.0,0.8999999999999999,0.4,0.76
55,1.0,0.8999999999999999,0.6000000000000001,0.437
56,2.0,0.8999999999999999,0.6000000000000001,0.561
57,3.0,0.8999999999999999,0.6000000000000001,0.609
58,4.0,0.8999999999999999,0.6000000000000001,0.642
59,5.0,0.8999999999999999,0.6000000000000001,0.685
60,1.0,0.9999999999999999,0.0,0.562
61,2.0,0.9999999999999999,0.0,0.678
62,3.0,0.9999999999999999,0.0,0.721
63,4.0,0.9999999999999999,0.0,0.725
64,5.0,0.9999999999999999,0.0,0.749
65,1.0,0.9999999999999999,0.2,0.55
66,2.0,0.9999999999999999,0.2,0.672
67,3.0,0.9999999999999999,0.2,0.714
68,4.0,0.9999999999999999,0.2,0.733
69,5.0,0.9999999999999999,0.2,0.758
70,1.0,0.9999999999999999,0.4,0.524
71,2.0,0.9999999999999999,0.4,0.641
72,3.0,0.9999999999999999,0.4,0.687
73,4.0,0.9999999999999999,0.4,0.706
74,5.0,0.9999999999999999,0.4,0.751
75,1.0,0.9999999999999999,0.6000000000000001,0.429
76,2.0,0.9999999999999999,0.6000000000000001,0.549
77,3.0,0.9999999999999999,0.6000000000000001,0.597
78,4.0,0.9999999999999999,0.6000000000000001,0.627
79,5.0,0.9999999999999999,0.6000000000000001,0.67
80,1.0,1.0999999999999999,0.0,0.558
81,2.0,1.0999999999999999,0.0,0.684
82,3.0,1.0999999999999999,0.0,0.724
83,4.0,1.0999999999999999,0.0,0.734
84,5.0,1.0999999999999999,0.0,0.765
85,1.0,1.0999999999999999,0.2,0.554
86,2.0,1.0999999999999999,0.2,0.682
87,3.0,1.0999999999999999,0.2,0.727
88,4.0,1.0999999999999999,0.2,0.739
89,5.0,1.0999999999999999,0.2,0.763
90,1.0,1.0999999999999999,0.4,0.515
91,2.0,1.0999999999999999,0.4,0.634
92,3.0,1.0999999999999999,0.4,0.686
93,4.0,1.0999999999999999,0.4,0.709
94,5.0,1.0999999999999999,0.4,0.738
95,1.0,1.0999999999999999,0.6000000000000001,0.416
96,2.0,1.0999999999999999,0.6000000000000001,0.528
97,3.0,1.0999999999999999,0.6000000000000001,0.594
98,4.0,1.0999999999999999,0.6000000000000001,0.613
99,5.0,1.0999999999999999,0.6000000000000001,0.653
100,1.0,1.1999999999999997,0.0,0.553
101,2.0,1.1999999999999997,0.0,0.67
102,3.0,1.1999999999999997,0.0,0.719
103,4.0,1.1999999999999997,0.0,0.736
104,5.0,1.1999999999999997,0.0,0.772
105,1.0,1.1999999999999997,0.2,0.542
106,2.0,1.1999999999999997,0.2,0.662
107,3.0,1.1999999999999997,0.2,0.716
108,4.0,1.1999999999999997,0.2,0.733
109,5.0,1.1999999999999997,0.2,0.767
110,1.0,1.1999999999999997,0.4,0.501
111,2.0,1.1999999999999997,0.4,0.61
112,3.0,1.1999999999999997,0.4,0.661
113,4.0,1.1999999999999997,0.4,0.689
114,5.0,1.1999999999999997,0.4,0.72
115,1.0,1.1999999999999997,0.6000000000000001,0.39
116,2.0,1.1999999999999997,0.6000000000000001,0.493
117,3.0,1.1999999999999997,0.6000000000000001,0.545
118,4.0,1.1999999999999997,0.6000000000000001,0.583
119,5.0,1.1999999999999997,0.6000000000000001,0.617
120,1.0,1.2999999999999998,0.0,0.536
121,2.0,1.2999999999999998,0.0,0.664
122,3.0,1.2999999999999998,0.0,0.716
123,4.0,1.2999999999999998,0.0,0.728
124,5.0,1.2999999999999998,0.0,0.756
125,1.0,1.2999999999999998,0.2,0.536
126,2.0,1.2999999999999998,0.2,0.658
127,3.0,1.2999999999999998,0.2,0.695
128,4.0,1.2999999999999998,0.2,0.717
129,5.0,1.2999999999999998,0.2,0.751
130,1.0,1.2999999999999998,0.4,0.489
131,2.0,1.2999999999999998,0.4,0.597
132,3.0,1.2999999999999998,0.4,0.645
133,4.0,1.2999999999999998,0.4,0.669
134,5.0,1.2999999999999998,0.4,0.7
135,1.0,1.2999999999999998,0.6000000000000001,0.377
136,2.0,1.2999999999999998,0.6000000000000001,0.479
137,3.0,1.2999999999999998,0.6000000000000001,0.521
138,4.0,1.2999999999999998,0.6000000000000001,0.549
139,5.0,1.2999999999999998,0.6000000000000001,0.588
