,n,a,e,completeness
0,1.0,0.2,0.0,0.517
1,2.0,0.2,0.0,0.604
2,3.0,0.2,0.0,0.628
3,4.0,0.2,0.0,0.642
4,5.0,0.2,0.0,0.659
5,6.0,0.2,0.0,0.66
6,7.0,0.2,0.0,0.661
7,8.0,0.2,0.0,0.667
8,9.0,0.2,0.0,0.672
9,10.0,0.2,0.0,0.672
10,1.0,0.4,0.0,0.52
11,2.0,0.4,0.0,0.602
12,3.0,0.4,0.0,0.63
13,4.0,0.4,0.0,0.656
14,5.0,0.4,0.0,0.664
15,6.0,0.4,0.0,0.672
16,7.0,0.4,0.0,0.675
17,8.0,0.4,0.0,0.681
18,9.0,0.4,0.0,0.679
19,10.0,0.4,0.0,0.687
20,1.0,0.6000000000000001,0.0,0.529
21,2.0,0.6000000000000001,0.0,0.611
22,3.0,0.6000000000000001,0.0,0.642
23,4.0,0.6000000000000001,0.0,0.66
24,5.0,0.6000000000000001,0.0,0.676
25,6.0,0.6000000000000001,0.0,0.689
26,7.0,0.6000000000000001,0.0,0.688
27,8.0,0.6000000000000001,0.0,0.69
28,9.0,0.6000000000000001,0.0,0.693
29,10.0,0.6000000000000001,0.0,0.695
30,1.0,0.8,0.0,0.517
31,2.0,0.8,0.0,0.607
32,3.0,0.8,0.0,0.646
33,4.0,0.8,0.0,0.673
34,5.0,0.8,0.0,0.691
35,6.0,0.8,0.0,0.692
36,7.0,0.8,0.0,0.702
37,8.0,0.8,0.0,0.699
38,9.0,0.8,0.0,0.707
39,10.0,0.8,0.0,0.711
40,1.0,1.0,0.0,0.495
41,2.0,1.0,0.0,0.599
42,3.0,1.0,0.0,0.647
43,4.0,1.0,0.0,0.668
44,5.0,1.0,0.0,0.684
45,6.0,1.0,0.0,0.693
46,7.0,1.0,0.0,0.698
47,8.0,1.0,0.0,0.703
48,9.0,1.0,0.0,0.717
49,10.0,1.0,0.0,0.714
50,1.0,1.2,0.0,0.466
51,2.0,1.2,0.0,0.552
52,3.0,1.2,0.0,0.607
53,4.0,1.2,0.0,0.626
54,5.0,1.2,0.0,0.648
55,6.0,1.2,0.0,0.658
56,7.0,1.2,0.0,0.673
57,8.0,1.2,0.0,0.675
58,9.0,1.2,0.0,0.685
59,10.0,1.2,0.0,0.691
60,1.0,1.4000000000000001,0.0,0.446
61,2.0,1.4000000000000001,0.0,0.535
62,3.0,1.4000000000000001,0.0,0.576
63,4.0,1.4000000000000001,0.0,0.6
64,5.0,1.4000000000000001,0.0,0.625
65,6.0,1.4000000000000001,0.0,0.627
66,7.0,1.4000000000000001,0.0,0.632
67,8.0,1.4000000000000001,0.0,0.635
68,9.0,1.4000000000000001,0.0,0.642
69,10.0,1.4000000000000001,0.0,0.643
70,1.0,1.6,0.0,0.413
71,2.0,1.6,0.0,0.49
72,3.0,1.6,0.0,0.533
73,4.0,1.6,0.0,0.553
74,5.0,1.6,0.0,0.586
75,6.0,1.6,0.0,0.587
76,7.0,1.6,0.0,0.594
77,8.0,1.6,0.0,0.598
78,9.0,1.6,0.0,0.623
79,10.0,1.6,0.0,0.614
80,1.0,1.8,0.0,0.378
81,2.0,1.8,0.0,0.45
82,3.0,1.8,0.0,0.483
83,4.0,1.8,0.0,0.504
84,5.0,1.8,0.0,0.543
85,6.0,1.8,0.0,0.546
86,7.0,1.8,0.0,0.55
87,8.0,1.8,0.0,0.553
88,9.0,1.8,0.0,0.561
89,10.0,1.8,0.0,0.57
