,n,a,e,completeness
0,1.0,0.5,0.0,0.577
1,2.0,0.5,0.0,0.683
2,3.0,0.5,0.0,0.726
3,4.0,0.5,0.0,0.743
4,5.0,0.5,0.0,0.766
5,1.0,0.6,0.0,0.573
6,2.0,0.6,0.0,0.682
7,3.0,0.6,0.0,0.726
8,4.0,0.6,0.0,0.745
9,5.0,0.6,0.0,0.765
10,1.0,0.7,0.0,0.571
11,2.0,0.7,0.0,0.689
12,3.0,0.7,0.0,0.733
13,4.0,0.7,0.0,0.746
14,5.0,0.7,0.0,0.766
15,1.0,0.7999999999999999,0.0,0.579
16,2.0,0.7999999999999999,0.0,0.691
17,3.0,0.7999999999999999,0.0,0.728
18,4.0,0.7999999999999999,0.0,0.741
19,5.0,0.7999999999999999,0.0,0.768
20,1.0,0.8999999999999999,0.0,0.568
21,2.0,0.8999999999999999,0.0,0.689
22,3.0,0.8999999999999999,0.0,0.736
23,4.0,0.8999999999999999,0.0,0.75
24,5.0,0.8999999999999999,0.0,0.77
25,1.0,0.9999999999999999,0.0,0.553
26,2.0,0.9999999999999999,0.0,0.677
27,3.0,0.9999999999999999,0.0,0.715
28,4.0,0.9999999999999999,0.0,0.73
29,5.0,0.9999999999999999,0.0,0.756
30,1.0,1.0999999999999999,0.0,0.557
31,2.0,1.0999999999999999,0.0,0.689
32,3.0,1.0999999999999999,0.0,0.731
33,4.0,1.0999999999999999,0.0,0.74
34,5.0,1.0999999999999999,0.0,0.764
35,1.0,1.1999999999999997,0.0,0.554
36,2.0,1.1999999999999997,0.0,0.669
37,3.0,1.1999999999999997,0.0,0.717
38,4.0,1.1999999999999997,0.0,0.739
39,5.0,1.1999999999999997,0.0,0.767
40,1.0,1.2999999999999998,0.0,0.549
41,2.0,1.2999999999999998,0.0,0.667
42,3.0,1.2999999999999998,0.0,0.711
43,4.0,1.2999999999999998,0.0,0.729
44,5.0,1.2999999999999998,0.0,0.754
45,1.0,1.4,0.0,0.529
46,2.0,1.4,0.0,0.655
47,3.0,1.4,0.0,0.696
48,4.0,1.4,0.0,0.715
49,5.0,1.4,0.0,0.745
50,1.0,1.4999999999999998,0.0,0.528
51,2.0,1.4999999999999998,0.0,0.641
52,3.0,1.4999999999999998,0.0,0.685
53,4.0,1.4999999999999998,0.0,0.709
54,5.0,1.4999999999999998,0.0,0.732
