,n,a,e,completeness,aspeed,spread
0,1.0,0.2,0.0,0.533,0.2,0.2
1,2.0,0.2,0.0,0.599,0.2,0.2
2,3.0,0.2,0.0,0.634,0.2,0.2
3,4.0,0.2,0.0,0.647,0.2,0.2
4,5.0,0.2,0.0,0.656,0.2,0.2
5,1.0,0.2,0.0,0.523,0.30000000000000004,0.2
6,2.0,0.2,0.0,0.607,0.30000000000000004,0.2
7,3.0,0.2,0.0,0.631,0.30000000000000004,0.2
8,4.0,0.2,0.0,0.647,0.30000000000000004,0.2
9,5.0,0.2,0.0,0.65,0.30000000000000004,0.2
10,1.0,0.2,0.0,0.526,0.4000000000000001,0.2
11,2.0,0.2,0.0,0.606,0.4000000000000001,0.2
12,3.0,0.2,0.0,0.632,0.4000000000000001,0.2
13,4.0,0.2,0.0,0.64,0.4000000000000001,0.2
14,5.0,0.2,0.0,0.651,0.4000000000000001,0.2
15,1.0,0.2,0.0,0.532,0.5000000000000001,0.2
16,2.0,0.2,0.0,0.603,0.5000000000000001,0.2
17,3.0,0.2,0.0,0.633,0.5000000000000001,0.2
18,4.0,0.2,0.0,0.644,0.5000000000000001,0.2
19,5.0,0.2,0.0,0.655,0.5000000000000001,0.2
20,1.0,0.2,0.0,0.531,0.6000000000000001,0.2
21,2.0,0.2,0.0,0.6,0.6000000000000001,0.2
22,3.0,0.2,0.0,0.634,0.6000000000000001,0.2
23,4.0,0.2,0.0,0.645,0.6000000000000001,0.2
24,5.0,0.2,0.0,0.657,0.6000000000000001,0.2
25,1.0,0.2,0.0,0.529,0.7000000000000002,0.2
26,2.0,0.2,0.0,0.604,0.7000000000000002,0.2
27,3.0,0.2,0.0,0.634,0.7000000000000002,0.2
28,4.0,0.2,0.0,0.646,0.7000000000000002,0.2
29,5.0,0.2,0.0,0.658,0.7000000000000002,0.2
30,1.0,0.2,0.0,0.533,0.8000000000000003,0.2
31,2.0,0.2,0.0,0.606,0.8000000000000003,0.2
32,3.0,0.2,0.0,0.633,0.8000000000000003,0.2
