,n,a,e,completeness
0,1.0,0.1,0.0,0.505
1,2.0,0.1,0.0,0.576
2,3.0,0.1,0.0,0.605
3,4.0,0.1,0.0,0.619
4,5.0,0.1,0.0,0.635
5,1.0,0.15000000000000002,0.0,0.505
6,2.0,0.15000000000000002,0.0,0.582
7,3.0,0.15000000000000002,0.0,0.606
8,4.0,0.15000000000000002,0.0,0.621
9,5.0,0.15000000000000002,0.0,0.641
10,1.0,0.20000000000000004,0.0,0.514
11,2.0,0.20000000000000004,0.0,0.577
12,3.0,0.20000000000000004,0.0,0.605
13,4.0,0.20000000000000004,0.0,0.617
14,5.0,0.20000000000000004,0.0,0.642
15,1.0,0.25000000000000006,0.0,0.501
16,2.0,0.25000000000000006,0.0,0.585
17,3.0,0.25000000000000006,0.0,0.611
18,4.0,0.25000000000000006,0.0,0.624
19,5.0,0.25000000000000006,0.0,0.645
20,1.0,0.30000000000000004,0.0,0.502
21,2.0,0.30000000000000004,0.0,0.579
22,3.0,0.30000000000000004,0.0,0.61
23,4.0,0.30000000000000004,0.0,0.624
24,5.0,0.30000000000000004,0.0,0.645
25,1.0,0.3500000000000001,0.0,0.489
26,2.0,0.3500000000000001,0.0,0.581
27,3.0,0.3500000000000001,0.0,0.618
28,4.0,0.3500000000000001,0.0,0.628
29,5.0,0.3500000000000001,0.0,0.645
30,1.0,0.40000000000000013,0.0,0.492
31,2.0,0.40000000000000013,0.0,0.583
32,3.0,0.40000000000000013,0.0,0.62
33,4.0,0.40000000000000013,0.0,0.635
34,5.0,0.40000000000000013,0.0,0.656
35,1.0,0.45000000000000007,0.0,0.49
36,2.0,0.45000000000000007,0.0,0.592
37,3.0,0.45000000000000007,0.0,0.622
38,4.0,0.45000000000000007,0.0,0.639
39,5.0,0.45000000000000007,0.0,0.654
40,1.0,0.5000000000000001,0.0,0.495
41,2.0,0.5000000000000001,0.0,0.584
42,3.0,0.5000000000000001,0.0,0.623
43,4.0,0.5000000000000001,0.0,0.641
44,5.0,0.5000000000000001,0.0,0.664
45,1.0,0.5500000000000002,0.0,0.502
46,2.0,0.5500000000000002,0.0,0.586
47,3.0,0.5500000000000002,0.0,0.626
48,4.0,0.5500000000000002,0.0,0.644
49,5.0,0.5500000000000002,0.0,0.674
50,1.0,0.6000000000000002,0.0,0.5
51,2.0,0.6000000000000002,0.0,0.586
52,3.0,0.6000000000000002,0.0,0.637
53,4.0,0.6000000000000002,0.0,0.652
54,5.0,0.6000000000000002,0.0,0.678
55,1.0,0.6500000000000001,0.0,0.497
56,2.0,0.6500000000000001,0.0,0.594
57,3.0,0.6500000000000001,0.0,0.639
58,4.0,0.6500000000000001,0.0,0.661
59,5.0,0.6500000000000001,0.0,0.685
60,1.0,0.7000000000000002,0.0,0.496
61,2.0,0.7000000000000002,0.0,0.592
62,3.0,0.7000000000000002,0.0,0.636
63,4.0,0.7000000000000002,0.0,0.66
64,5.0,0.7000000000000002,0.0,0.677
65,1.0,0.7500000000000002,0.0,0.498
66,2.0,0.7500000000000002,0.0,0.594
67,3.0,0.7500000000000002,0.0,0.643
68,4.0,0.7500000000000002,0.0,0.659
69,5.0,0.7500000000000002,0.0,0.687
70,1.0,0.8000000000000002,0.0,0.49
71,2.0,0.8000000000000002,0.0,0.588
72,3.0,0.8000000000000002,0.0,0.645
73,4.0,0.8000000000000002,0.0,0.661
74,5.0,0.8000000000000002,0.0,0.689
75,1.0,0.8500000000000002,0.0,0.491
76,2.0,0.8500000000000002,0.0,0.595
