,n,a,e,completeness
0,1.0,0.2,0.0,0.522
1,2.0,0.2,0.0,0.603
2,3.0,0.2,0.0,0.631
3,4.0,0.2,0.0,0.639
4,5.0,0.2,0.0,0.651
5,6.0,0.2,0.0,0.662
6,7.0,0.2,0.0,0.666
7,8.0,0.2,0.0,0.664
8,9.0,0.2,0.0,0.669
9,10.0,0.2,0.0,0.672
10,1.0,0.30000000000000004,0.0,0.519
11,2.0,0.30000000000000004,0.0,0.601
12,3.0,0.30000000000000004,0.0,0.631
13,4.0,0.30000000000000004,0.0,0.644
14,5.0,0.30000000000000004,0.0,0.655
15,6.0,0.30000000000000004,0.0,0.662
16,7.0,0.30000000000000004,0.0,0.672
17,8.0,0.30000000000000004,0.0,0.673
18,9.0,0.30000000000000004,0.0,0.673
19,10.0,0.30000000000000004,0.0,0.679
20,1.0,0.4000000000000001,0.0,0.518
21,2.0,0.4000000000000001,0.0,0.606
22,3.0,0.4000000000000001,0.0,0.634
23,4.0,0.4000000000000001,0.0,0.65
24,5.0,0.4000000000000001,0.0,0.66
25,6.0,0.4000000000000001,0.0,0.673
26,7.0,0.4000000000000001,0.0,0.678
27,8.0,0.4000000000000001,0.0,0.678
28,9.0,0.4000000000000001,0.0,0.684
29,10.0,0.4000000000000001,0.0,0.687
30,1.0,0.5000000000000001,0.0,0.519
31,2.0,0.5000000000000001,0.0,0.614
32,3.0,0.5000000000000001,0.0,0.647
33,4.0,0.5000000000000001,0.0,0.662
34,5.0,0.5000000000000001,0.0,0.675
35,6.0,0.5000000000000001,0.0,0.679
36,7.0,0.5000000000000001,0.0,0.683
37,8.0,0.5000000000000001,0.0,0.682
38,9.0,0.5000000000000001,0.0,0.691
39,10.0,0.5000000000000001,0.0,0.693
40,1.0,0.6000000000000001,0.0,0.524
41,2.0,0.6000000000000001,0.0,0.612
42,3.0,0.6000000000000001,0.0,0.649
43,4.0,0.6000000000000001,0.0,0.656
44,5.0,0.6000000000000001,0.0,0.676
45,6.0,0.6000000000000001,0.0,0.683
46,7.0,0.6000000000000001,0.0,0.687
47,8.0,0.6000000000000001,0.0,0.695
