,n,a,e,completeness,spread
0,1.0,0.6,0.0,0.527,0.05
1,2.0,0.6,0.0,0.607,0.05
2,3.0,0.6,0.0,0.641,0.05
3,4.0,0.6,0.0,0.655,0.05
4,5.0,0.6,0.0,0.678,0.05
5,6.0,0.6,0.0,0.689,0.05
6,7.0,0.6,0.0,0.691,0.05
7,8.0,0.6,0.0,0.7,0.05
8,9.0,0.6,0.0,0.697,0.05
9,10.0,0.6,0.0,0.706,0.05
10,1.0,0.6,0.0,0.524,0.1
11,2.0,0.6,0.0,0.606,0.1
12,3.0,0.6,0.0,0.643,0.1
13,4.0,0.6,0.0,0.657,0.1
14,5.0,0.6,0.0,0.678,0.1
15,6.0,0.6,0.0,0.686,0.1
16,7.0,0.6,0.0,0.687,0.1
17,8.0,0.6,0.0,0.692,0.1
18,9.0,0.6,0.0,0.694,0.1
19,10.0,0.6,0.0,0.698,0.1
20,1.0,0.6,0.0,0.528,0.15000000000000002
21,2.0,0.6,0.0,0.61,0.15000000000000002
22,3.0,0.6,0.0,0.647,0.15000000000000002
23,4.0,0.6,0.0,0.665,0.15000000000000002
24,5.0,0.6,0.0,0.679,0.15000000000000002
25,6.0,0.6,0.0,0.682,0.15000000000000002
26,7.0,0.6,0.0,0.692,0.15000000000000002
27,8.0,0.6,0.0,0.694,0.15000000000000002
28,9.0,0.6,0.0,0.694,0.15000000000000002
29,10.0,0.6,0.0,0.699,0.15000000000000002
30,1.0,0.6,0.0,0.53,0.2
31,2.0,0.6,0.0,0.613,0.2
32,3.0,0.6,0.0,0.647,0.2
33,4.0,0.6,0.0,0.666,0.2
34,5.0,0.6,0.0,0.68,0.2
35,6.0,0.6,0.0,0.682,0.2
36,7.0,0.6,0.0,0.689,0.2
37,8.0,0.6,0.0,0.695,0.2
38,9.0,0.6,0.0,0.697,0.2
39,10.0,0.6,0.0,0.694,0.2
40,1.0,0.6,0.0,0.527,0.25
41,2.0,0.6,0.0,0.608,0.25
42,3.0,0.6,0.0,0.646,0.25
43,4.0,0.6,0.0,0.659,0.25
