,n,a,e,completeness,spread
0,1.0,0.2,0.0,0.244,0.2
1,2.0,0.2,0.0,0.259,0.2
2,3.0,0.2,0.0,0.273,0.2
3,4.0,0.2,0.0,0.283,0.2
4,5.0,0.2,0.0,0.292,0.2
5,1.0,0.25,0.0,0.262,0.2
6,2.0,0.25,0.0,0.289,0.2
7,3.0,0.25,0.0,0.294,0.2
8,4.0,0.25,0.0,0.312,0.2
9,5.0,0.25,0.0,0.319,0.2
10,1.0,0.3,0.0,0.281,0.2
11,2.0,0.3,0.0,0.311,0.2
12,3.0,0.3,0.0,0.331,0.2
13,4.0,0.3,0.0,0.344,0.2
14,5.0,0.3,0.0,0.353,0.2
15,1.0,0.35,0.0,0.299,0.2
16,2.0,0.35,0.0,0.332,0.2
17,3.0,0.35,0.0,0.359,0.2
18,4.0,0.35,0.0,0.368,0.2
19,5.0,0.35,0.0,0.375,0.2
20,1.0,0.39999999999999997,0.0,0.326,0.2
21,2.0,0.39999999999999997,0.0,0.366,0.2
22,3.0,0.39999999999999997,0.0,0.381,0.2
23,4.0,0.39999999999999997,0.0,0.392,0.2
24,5.0,0.39999999999999997,0.0,0.4,0.2
25,1.0,0.44999999999999996,0.0,0.349,0.2
26,2.0,0.44999999999999996,0.0,0.385,0.2
27,3.0,0.44999999999999996,0.0,0.403,0.2
28,4.0,0.44999999999999996,0.0,0.411,0.2
29,5.0,0.44999999999999996,0.0,0.419,0.2
30,1.0,0.49999999999999994,0.0,0.365,0.2
31,2.0,0.49999999999999994,0.0,0.392,0.2
32,3.0,0.49999999999999994,0.0,0.424,0.2
33,4.0,0.49999999999999994,0.0,0.429,0.2
34,5.0,0.49999999999999994,0.0,0.444,0.2
35,1.0,0.5499999999999999,0.0,0.397,0.2
36,2.0,0.5499999999999999,0.0,0.423,0.2
37,3.0,0.5499999999999999,0.0,0.435,0.2
38,4.0,0.5499999999999999,0.0,0.455,0.2
39,5.0,0.5499999999999999,0.0,0.462,0.2
40,1.0,0.5999999999999999,0.0,0.394,0.2
41,2.0,0.5999999999999999,0.0,0.431,0.2
42,3.0,0.5999999999999999,0.0,0.447,0.2
43,4.0,0.5999999999999999,0.0,0.459,0.2
44,5.0,0.5999999999999999,0.0,0.479,0.2
45,1.0,0.6499999999999999,0.0,0.412,0.2
46,2.0,0.6499999999999999,0.0,0.451,0.2
47,3.0,0.6499999999999999,0.0,0.478,0.2
48,4.0,0.6499999999999999,0.0,0.488,0.2
49,5.0,0.6499999999999999,0.0,0.495,0.2
50,1.0,0.7,0.0,0.437,0.2
51,2.0,0.7,0.0,0.467,0.2
52,3.0,0.7,0.0,0.491,0.2
53,4.0,0.7,0.0,0.496,0.2
54,5.0,0.7,0.0,0.5,0.2
55,1.0,0.7499999999999998,0.0,0.432,0.2
56,2.0,0.7499999999999998,0.0,0.475,0.2
57,3.0,0.7499999999999998,0.0,0.498,0.2
58,4.0,0.7499999999999998,0.0,0.505,0.2
59,5.0,0.7499999999999998,0.0,0.511,0.2
60,1.0,0.7999999999999998,0.0,0.442,0.2
61,2.0,0.7999999999999998,0.0,0.475,0.2
62,3.0,0.7999999999999998,0.0,0.488,0.2
63,4.0,0.7999999999999998,0.0,0.499,0.2
64,5.0,0.7999999999999998,0.0,0.506,0.2
65,1.0,0.8499999999999999,0.0,0.45,0.2
66,2.0,0.8499999999999999,0.0,0.487,0.2
67,3.0,0.8499999999999999,0.0,0.509,0.2
68,4.0,0.8499999999999999,0.0,0.512,0.2
69,5.0,0.8499999999999999,0.0,0.511,0.2
70,1.0,0.8999999999999999,0.0,0.46,0.2
71,2.0,0.8999999999999999,0.0,0.491,0.2
72,3.0,0.8999999999999999,0.0,0.502,0.2
73,4.0,0.8999999999999999,0.0,0.512,0.2
74,5.0,0.8999999999999999,0.0,0.511,0.2
75,1.0,0.9499999999999997,0.0,0.455,0.2
76,2.0,0.9499999999999997,0.0,0.483,0.2
77,3.0,0.9499999999999997,0.0,0.5,0.2
78,4.0,0.9499999999999997,0.0,0.492,0.2
79,5.0,0.9499999999999997,0.0,0.509,0.2
80,1.0,0.9999999999999998,0.0,0.467,0.2
81,2.0,0.9999999999999998,0.0,0.494,0.2
82,3.0,0.9999999999999998,0.0,0.519,0.2
83,4.0,0.9999999999999998,0.0,0.528,0.2
84,5.0,0.9999999999999998,0.0,0.528,0.2
