,n,a,e,completeness,spread
0,1.0,0.6,0.0,0.395,0.2
1,2.0,0.6,0.0,0.435,0.2
2,3.0,0.6,0.0,0.449,0.2
3,4.0,0.6,0.0,0.464,0.2
4,5.0,0.6,0.0,0.472,0.2
5,1.0,0.6,0.1,0.391,0.2
6,2.0,0.6,0.1,0.442,0.2
7,3.0,0.6,0.1,0.456,0.2
8,4.0,0.6,0.1,0.471,0.2
9,5.0,0.6,0.1,0.476,0.2
10,1.0,0.6,0.2,0.414,0.2
11,2.0,0.6,0.2,0.449,0.2
12,3.0,0.6,0.2,0.467,0.2
13,4.0,0.6,0.2,0.477,0.2
14,5.0,0.6,0.2,0.481,0.2
15,1.0,0.6,0.30000000000000004,0.441,0.2
16,2.0,0.6,0.30000000000000004,0.473,0.2
17,3.0,0.6,0.30000000000000004,0.483,0.2
18,4.0,0.6,0.30000000000000004,0.495,0.2
19,5.0,0.6,0.30000000000000004,0.504,0.2
20,1.0,0.6,0.4,0.45,0.2
21,2.0,0.6,0.4,0.484,0.2
22,3.0,0.6,0.4,0.502,0.2
23,4.0,0.6,0.4,0.511,0.2
24,5.0,0.6,0.4,0.523,0.2
25,1.0,0.6,0.5,0.442,0.2
26,2.0,0.6,0.5,0.484,0.2
27,3.0,0.6,0.5,0.493,0.2
28,4.0,0.6,0.5,0.502,0.2
29,5.0,0.6,0.5,0.507,0.2
30,1.0,0.6,0.6000000000000001,0.406,0.2
31,2.0,0.6,0.6000000000000001,0.454,0.2
32,3.0,0.6,0.6000000000000001,0.47,0.2
33,4.0,0.6,0.6000000000000001,0.481,0.2
34,5.0,0.6,0.6000000000000001,0.486,0.2
35,1.0,0.6,0.7000000000000001,0.348,0.2
36,2.0,0.6,0.7000000000000001,0.417,0.2
37,3.0,0.6,0.7000000000000001,0.436,0.2
38,4.0,0.6,0.7000000000000001,0.448,0.2
39,5.0,0.6,0.7000000000000001,0.46,0.2
40,1.0,0.6,0.8,0.271,0.2
41,2.0,0.6,0.8,0.342,0.2
42,3.0,0.6,0.8,0.384,0.2
43,4.0,0.6,0.8,0.406,0.2
44,5.0,0.6,0.8,0.427,0.2
45,1.0,0.6,0.9,0.139,0.2
46,2.0,0.6,0.9,0.208,0.2
47,3.0,0.6,0.9,0.252,0.2
48,4.0,0.6,0.9,0.283,0.2
49,5.0,0.6,0.9,0.338,0.2
50,1.0,0.7,0.0,0.442,0.2
51,2.0,0.7,0.0,0.46,0.2
52,3.0,0.7,0.0,0.485,0.2
53,4.0,0.7,0.0,0.492,0.2
54,5.0,0.7,0.0,0.495,0.2
55,1.0,0.7,0.1,0.436,0.2
56,2.0,0.7,0.1,0.466,0.2
57,3.0,0.7,0.1,0.477,0.2
58,4.0,0.7,0.1,0.497,0.2
59,5.0,0.7,0.1,0.507,0.2
60,1.0,0.7,0.2,0.434,0.2
61,2.0,0.7,0.2,0.467,0.2
62,3.0,0.7,0.2,0.49,0.2
63,4.0,0.7,0.2,0.506,0.2
64,5.0,0.7,0.2,0.514,0.2
65,1.0,0.7,0.30000000000000004,0.447,0.2
66,2.0,0.7,0.30000000000000004,0.483,0.2
67,3.0,0.7,0.30000000000000004,0.498,0.2
68,4.0,0.7,0.30000000000000004,0.517,0.2
69,5.0,0.7,0.30000000000000004,0.523,0.2
70,1.0,0.7,0.4,0.436,0.2
71,2.0,0.7,0.4,0.472,0.2
72,3.0,0.7,0.4,0.494,0.2
73,4.0,0.7,0.4,0.507,0.2
74,5.0,0.7,0.4,0.518,0.2
75,1.0,0.7,0.5,0.419,0.2
76,2.0,0.7,0.5,0.457,0.2
77,3.0,0.7,0.5,0.477,0.2
78,4.0,0.7,0.5,0.489,0.2
79,5.0,0.7,0.5,0.513,0.2
80,1.0,0.7,0.6000000000000001,0.39,0.2
81,2.0,0.7,0.6000000000000001,0.44,0.2
82,3.0,0.7,0.6000000000000001,0.456,0.2
