,n,a,e,completeness,spread
0,1.0,0.2,0.0,0.241,0.2
1,2.0,0.2,0.0,0.258,0.2
2,3.0,0.2,0.0,0.274,0.2
3,4.0,0.2,0.0,0.28,0.2
4,5.0,0.2,0.0,0.29,0.2
5,6.0,0.2,0.0,0.298,0.2
6,7.0,0.2,0.0,0.303,0.2
7,8.0,0.2,0.0,0.302,0.2
8,9.0,0.2,0.0,0.306,0.2
9,10.0,0.2,0.0,0.311,0.2
10,1.0,0.30000000000000004,0.0,0.283,0.2
11,2.0,0.30000000000000004,0.0,0.31,0.2
12,3.0,0.30000000000000004,0.0,0.336,0.2
13,4.0,0.30000000000000004,0.0,0.352,0.2
14,5.0,0.30000000000000004,0.0,0.352,0.2
15,6.0,0.30000000000000004,0.0,0.366,0.2
16,7.0,0.30000000000000004,0.0,0.37,0.2
17,8.0,0.30000000000000004,0.0,0.368,0.2
18,9.0,0.30000000000000004,0.0,0.375,0.2
19,10.0,0.30000000000000004,0.0,0.379,0.2
20,1.0,0.4000000000000001,0.0,0.328,0.2
21,2.0,0.4000000000000001,0.0,0.359,0.2
22,3.0,0.4000000000000001,0.0,0.384,0.2
23,4.0,0.4000000000000001,0.0,0.398,0.2
24,5.0,0.4000000000000001,0.0,0.407,0.2
25,6.0,0.4000000000000001,0.0,0.415,0.2
26,7.0,0.4000000000000001,0.0,0.419,0.2
27,8.0,0.4000000000000001,0.0,0.42,0.2
28,9.0,0.4000000000000001,0.0,0.428,0.2
29,10.0,0.4000000000000001,0.0,0.43,0.2
30,1.0,0.5000000000000001,0.0,0.366,0.2
31,2.0,0.5000000000000001,0.0,0.395,0.2
32,3.0,0.5000000000000001,0.0,0.419,0.2
33,4.0,0.5000000000000001,0.0,0.436,0.2
34,5.0,0.5000000000000001,0.0,0.441,0.2
35,6.0,0.5000000000000001,0.0,0.454,0.2
36,7.0,0.5000000000000001,0.0,0.458,0.2
37,8.0,0.5000000000000001,0.0,0.462,0.2
38,9.0,0.5000000000000001,0.0,0.471,0.2
39,10.0,0.5000000000000001,0.0,0.475,0.2
40,1.0,0.6000000000000001,0.0,0.398,0.2
