,n,a,e,completeness,spread
0,1.0,0.6,0.0,0.404,0.0
1,2.0,0.6,0.0,0.44,0.0
2,3.0,0.6,0.0,0.447,0.0
3,4.0,0.6,0.0,0.466,0.0
4,5.0,0.6,0.0,0.475,0.0
5,1.0,0.6,0.0,0.39,0.1
6,2.0,0.6,0.0,0.428,0.1
7,3.0,0.6,0.0,0.446,0.1
8,4.0,0.6,0.0,0.461,0.1
9,5.0,0.6,0.0,0.473,0.1
10,1.0,0.6,0.0,0.394,0.2
11,2.0,0.6,0.0,0.428,0.2
12,3.0,0.6,0.0,0.454,0.2
13,4.0,0.6,0.0,0.468,0.2
14,5.0,0.6,0.0,0.473,0.2
15,1.0,0.6,0.0,0.403,0.30000000000000004
16,2.0,0.6,0.0,0.432,0.30000000000000004
17,3.0,0.6,0.0,0.454,0.30000000000000004
18,4.0,0.6,0.0,0.475,0.30000000000000004
19,5.0,0.6,0.0,0.477,0.30000000000000004
20,1.0,0.6,0.0,0.396,0.4
21,2.0,0.6,0.0,0.435,0.4
22,3.0,0.6,0.0,0.459,0.4
23,4.0,0.6,0.0,0.467,0.4
24,5.0,0.6,0.0,0.469,0.4
25,1.0,0.6,0.0,0.39,0.5
26,2.0,0.6,0.0,0.437,0.5
27,3.0,0.6,0.0,0.457,0.5
28,4.0,0.6,0.0,0.463,0.5
29,5.0,0.6,0.0,0.483,0.5
30,1.0,0.7,0.0,0.441,0.0
31,2.0,0.7,0.0,0.475,0.0
32,3.0,0.7,0.0,0.49,0.0
33,4.0,0.7,0.0,0.503,0.0
34,5.0,0.7,0.0,0.509,0.0
35,1.0,0.7,0.0,0.438,0.1
36,2.0,0.7,0.0,0.473,0.1
37,3.0,0.7,0.0,0.483,0.1
38,4.0,0.7,0.0,0.497,0.1
39,5.0,0.7,0.0,0.51,0.1
40,1.0,0.7,0.0,0.435,0.2
41,2.0,0.7,0.0,0.468,0.2
42,3.0,0.7,0.0,0.485,0.2
43,4.0,0.7,0.0,0.497,0.2
44,5.0,0.7,0.0,0.495,0.2
45,1.0,0.7,0.0,0.426,0.30000000000000004
46,2.0,0.7,0.0,0.468,0.30000000000000004
47,3.0,0.7,0.0,0.487,0.30000000000000004
48,4.0,0.7,0.0,0.489,0.30000000000000004
49,5.0,0.7,0.0,0.493,0.30000000000000004
50,1.0,0.7,0.0,0.431,0.4
51,2.0,0.7,0.0,0.461,0.4
52,3.0,0.7,0.0,0.479,0.4
53,4.0,0.7,0.0,0.492,0.4
54,5.0,0.7,0.0,0.5,0.4
55,1.0,0.7,0.0,0.428,0.5
56,2.0,0.7,0.0,0.462,0.5
57,3.0,0.7,0.0,0.479,0.5
58,4.0,0.7,0.0,0.492,0.5
59,5.0,0.7,0.0,0.499,0.5
60,1.0,0.7999999999999999,0.0,0.437,0.0
61,2.0,0.7999999999999999,0.0,0.479,0.0
62,3.0,0.7999999999999999,0.0,0.499,0.0
63,4.0,0.7999999999999999,0.0,0.505,0.0
64,5.0,0.7999999999999999,0.0,0.512,0.0
65,1.0,0.7999999999999999,0.0,0.438,0.1
66,2.0,0.7999999999999999,0.0,0.475,0.1
67,3.0,0.7999999999999999,0.0,0.489,0.1
68,4.0,0.7999999999999999,0.0,0.496,0.1
69,5.0,0.7999999999999999,0.0,0.502,0.1
70,1.0,0.7999999999999999,0.0,0.438,0.2
71,2.0,0.7999999999999999,0.0,0.475,0.2
72,3.0,0.7999999999999999,0.0,0.488,0.2
73,4.0,0.7999999999999999,0.0,0.489,0.2
74,5.0,0.7999999999999999,0.0,0.496,0.2
75,1.0,0.7999999999999999,0.0,0.435,0.30000000000000004
76,2.0,0.7999999999999999,0.0,0.472,0.30000000000000004
77,3.0,0.7999999999999999,0.0,0.484,0.30000000000000004
78,4.0,0.7999999999999999,0.0,0.504,0.30000000000000004
79,5.0,0.7999999999999999,0.0,0.518,0.30000000000000004
80,1.0,0.7999999999999999,0.0,0.441,0.4
81,2.0,0.7999999999999999,0.0,0.467,0.4
82,3.0,0.7999999999999999,0.0,0.488,0.4
