,n,a,e,completeness,spread
0,1.0,0.2,0.0,0.2316,0.2
1,2.0,0.2,0.0,0.2594,0.2
2,3.0,0.2,0.0,0.271,0.2
3,4.0,0.2,0.0,0.277,0.2
4,5.0,0.2,0.0,0.2868,0.2
5,1.0,0.30000000000000004,0.0,0.2832,0.2
6,2.0,0.30000000000000004,0.0,0.3128,0.2
7,3.0,0.30000000000000004,0.0,0.33,0.2
8,4.0,0.30000000000000004,0.0,0.3406,0.2
9,5.0,0.30000000000000004,0.0,0.3492,0.2
10,1.0,0.4000000000000001,0.0,0.328,0.2
11,2.0,0.4000000000000001,0.0,0.358,0.2
12,3.0,0.4000000000000001,0.0,0.3736,0.2
13,4.0,0.4000000000000001,0.0,0.3854,0.2
14,5.0,0.4000000000000001,0.0,0.39,0.2
15,1.0,0.5000000000000001,0.0,0.3624,0.2
16,2.0,0.5000000000000001,0.0,0.395,0.2
17,3.0,0.5000000000000001,0.0,0.4078,0.2
18,4.0,0.5000000000000001,0.0,0.426,0.2
19,5.0,0.5000000000000001,0.0,0.434,0.2
20,1.0,0.6000000000000001,0.0,0.3888,0.2
21,2.0,0.6000000000000001,0.0,0.4236,0.2
22,3.0,0.6000000000000001,0.0,0.4426,0.2
23,4.0,0.6000000000000001,0.0,0.4564,0.2
24,5.0,0.6000000000000001,0.0,0.4646,0.2
25,1.0,0.7000000000000002,0.0,0.4198,0.2
26,2.0,0.7000000000000002,0.0,0.451,0.2
27,3.0,0.7000000000000002,0.0,0.4632,0.2
28,4.0,0.7000000000000002,0.0,0.4716,0.2
29,5.0,0.7000000000000002,0.0,0.4856,0.2
30,1.0,0.8000000000000003,0.0,0.43,0.2
31,2.0,0.8000000000000003,0.0,0.4622,0.2
32,3.0,0.8000000000000003,0.0,0.4816,0.2
33,4.0,0.8000000000000003,0.0,0.4942,0.2
34,5.0,0.8000000000000003,0.0,0.5032,0.2
35,1.0,0.9000000000000001,0.0,0.4436,0.2
36,2.0,0.9000000000000001,0.0,0.4784,0.2
37,3.0,0.9000000000000001,0.0,0.4912,0.2
38,4.0,0.9000000000000001,0.0,0.5038,0.2
39,5.0,0.9000000000000001,0.0,0.5098,0.2
40,1.0,1.0000000000000002,0.0,0.4498,0.2
41,2.0,1.0000000000000002,0.0,0.4876,0.2
42,3.0,1.0000000000000002,0.0,0.5034,0.2
43,4.0,1.0000000000000002,0.0,0.5164,0.2
44,5.0,1.0000000000000002,0.0,0.5296,0.2
45,1.0,1.1000000000000003,0.0,0.4458,0.2
46,2.0,1.1000000000000003,0.0,0.4834,0.2
47,3.0,1.1000000000000003,0.0,0.4986,0.2
48,4.0,1.1000000000000003,0.0,0.505,0.2
49,5.0,1.1000000000000003,0.0,0.5132,0.2
50,1.0,1.2000000000000004,0.0,0.4168,0.2
51,2.0,1.2000000000000004,0.0,0.4568,0.2
52,3.0,1.2000000000000004,0.0,0.4764,0.2
53,4.0,1.2000000000000004,0.0,0.4866,0.2
54,5.0,1.2000000000000004,0.0,0.4998,0.2
55,1.0,1.3000000000000003,0.0,0.4062,0.2
56,2.0,1.3000000000000003,0.0,0.4356,0.2
57,3.0,1.3000000000000003,0.0,0.4566,0.2
58,4.0,1.3000000000000003,0.0,0.4592,0.2
59,5.0,1.3000000000000003,0.0,0.4692,0.2
60,1.0,1.4000000000000004,0.0,0.3966,0.2
61,2.0,1.4000000000000004,0.0,0.4272,0.2
62,3.0,1.4000000000000004,0.0,0.4442,0.2
63,4.0,1.4000000000000004,0.0,0.454,0.2
64,5.0,1.4000000000000004,0.0,0.459,0.2
65,1.0,1.5000000000000004,0.0,0.3892,0.2
66,2.0,1.5000000000000004,0.0,0.419,0.2
67,3.0,1.5000000000000004,0.0,0.436,0.2
68,4.0,1.5000000000000004,0.0,0.4416,0.2
69,5.0,1.5000000000000004,0.0,0.4412,0.2
70,1.0,1.6000000000000003,0.0,0.3702,0.2
71,2.0,1.6000000000000003,0.0,0.404,0.2
72,3.0,1.6000000000000003,0.0,0.4184,0.2
73,4.0,1.6000000000000003,0.0,0.427,0.2
74,5.0,1.6000000000000003,0.0,0.433,0.2
75,1.0,1.7000000000000004,0.0,0.351,0.2
76,2.0,1.7000000000000004,0.0,0.3812,0.2
77,3.0,1.7000000000000004,0.0,0.3972,0.2
78,4.0,1.7000000000000004,0.0,0.4044,0.2
79,5.0,1.7000000000000004,0.0,0.4108,0.2
80,1.0,1.8000000000000005,0.0,0.3326,0.2
81,2.0,1.8000000000000005,0.0,0.3622,0.2
82,3.0,1.8000000000000005,0.0,0.3802,0.2
83,4.0,1.8000000000000005,0.0,0.3848,0.2
84,5.0,1.8000000000000005,0.0,0.3934,0.2
85,1.0,1.9000000000000006,0.0,0.3198,0.2
86,2.0,1.9000000000000006,0.0,0.3436,0.2
87,3.0,1.9000000000000006,0.0,0.3564,0.2
88,4.0,1.9000000000000006,0.0,0.3698,0.2
89,5.0,1.9000000000000006,0.0,0.3778,0.2
